Epoch,Scramble Depth,Time,isSolved,Move Count,Nodes Generated,Search Iterations
100,30,45.93469429016113,False,,334768,801
200,30,45.09595084190369,False,,331068,801
300,30,45.667930126190186,False,,332057,801
400,30,46.12572264671326,False,,336138,801
500,30,20.83830213546753,True,10,145406,318
700,30,9.590358257293701,True,12,73416,147
800,30,1.3862931728363037,True,10,5410,12
900,30,4.621644735336304,True,10,26686,57
1000,30,3.5804269313812256,True,10,22890,48
600,30,50.38430404663086,False,,342606,801
2000,30,1.5867574214935303,True,10,7123,16
3000,30,1.1569068431854248,True,8,3942,10
4000,30,1.3144853115081787,True,10,5447,13
5000,30,5.398566007614136,True,12,38487,81
6000,30,3.041867971420288,True,12,19124,41
7000,30,1.2765862941741943,True,10,5102,12
8000,30,1.3084526062011719,True,10,4888,12
9000,30,1.2337019443511963,True,10,5091,12
10000,30,2.1682024002075195,True,12,22046,46
